Date,30yr_FRM,30yr_FRM_points,15yr_FRM,15yr_FRM_points,5/1_ARM,5/1_ARM_points,5/1_ARM_margin,FRM_ARM_spread,MORTGAGE30US,CPIAUCSL,CSUSHPINSA,EXHOSLUSM495S,FEDFUNDS
4/2/1971,7.33,,,,,,,,7.33,,,,
4/9/1971,7.31, ,,,,,,,7.31,,,,
4/16/1971,7.31, ,,,,,,,7.31,,,,
4/23/1971,7.31, ,,,,,,,7.31,,,,
4/30/1971,7.29, ,,,,,,,7.29,,,,
5/7/1971,7.38, ,,,,,,,7.38,,,,
5/14/1971,7.42, ,,,,,,,7.42,,,,
5/21/1971,7.44, ,,,,,,,7.44,,,,
5/28/1971,7.46,1,,,,,,,7.46,,,,
6/4/1971,7.52, ,,,,,,,7.52,,,,
6/11/1971,7.52, ,,,,,,,7.52,,,,
6/18/1971,7.54,1.2,,,,,,,7.54,,,,
6/25/1971,7.54, ,,,,,,,7.54,,,,
7/2/1971,7.54, ,,,,,,,7.54,,,,
7/9/1971,7.54, ,,,,,,,7.54,,,,
7/16/1971,7.6,1.2,,,,,,,7.6,,,,
7/23/1971,7.65, ,,,,,,,7.65,,,,
7/30/1971,7.69, ,,,,,,,7.69,,,,
8/6/1971,7.66, ,,,,,,,7.66,,,,
8/13/1971,7.73, ,,,,,,,7.73,,,,
8/20/1971,7.71,1.3,,,,,,,7.71,,,,
8/27/1971,7.69, ,,,,,,,7.69,,,,
9/3/1971,7.71, ,,,,,,,7.71,,,,
9/10/1971,7.67, ,,,,,,,7.67,,,,
9/17/1971,7.7,1.1,,,,,,,7.7,,,,
9/24/1971,7.67, ,,,,,,,7.67,,,,
10/1/1971,7.67, ,,,,,,,7.67,40.9,,,5.2
10/8/1971,7.63, ,,,,,,,7.63,,,,
11/5/1971,7.59, ,,,,,,,7.59,,,,
12/3/1971,7.49, ,,,,,,,7.49,,,,
1/7/1972,7.46,1,,,,,,,7.46,,,,
1/14/1972,7.46,0.9,,,,,,,7.46,,,,
1/21/1972,7.43,1,,,,,,,7.43,,,,
1/28/1972,7.4,0.9,,,,,,,7.4,,,,
2/4/1972,7.35,0.9,,,,,,,7.35,,,,
2/11/1972,7.33,0.9,,,,,,,7.33,,,,
2/18/1972,7.31,0.9,,,,,,,7.31,,,,
2/25/1972,7.31,0.9,,,,,,,7.31,,,,
3/3/1972,7.32,0.9,,,,,,,7.32,,,,
3/10/1972,7.32,1,,,,,,,7.32,,,,
3/17/1972,7.31,0.9,,,,,,,7.31,,,,
3/24/1972,7.31,0.9,,,,,,,7.31,,,,
3/31/1972,7.23,0.9,,,,,,,7.23,,,,
4/7/1972,7.25,0.9,,,,,,,7.25,,,,
4/14/1972,7.29,0.9,,,,,,,7.29,,,,
4/21/1972,7.29,0.9,,,,,,,7.29,,,,
4/28/1972,7.33,1,,,,,,,7.33,,,,
5/5/1972,7.33,0.8,,,,,,,7.33,,,,
5/12/1972,7.38,0.9,,,,,,,7.38,,,,
5/19/1972,7.38,0.9,,,,,,,7.38,,,,
5/26/1972,7.4,0.9,,,,,,,7.4,,,,
6/2/1972,7.36,1,,,,,,,7.36,,,,
6/9/1972,7.38,1,,,,,,,7.38,,,,
6/16/1972,7.38,0.9,,,,,,,7.38,,,,
6/23/1972,7.36,0.9,,,,,,,7.36,,,,
6/30/1972,7.38,0.8,,,,,,,7.38,,,,
7/7/1972,7.38,0.9,,,,,,,7.38,,,,
7/14/1972,7.4,0.9,,,,,,,7.4,,,,
7/21/1972,7.4,0.9,,,,,,,7.4,,,,
7/28/1972,7.4,1,,,,,,,7.4,,,,
8/4/1972,7.35,0.9,,,,,,,7.35,,,,
8/11/1972,7.41,0.9,,,,,,,7.41,,,,
8/18/1972,7.42,0.9,,,,,,,7.42,,,,
8/25/1972,7.42,0.9,,,,,,,7.42,,,,
9/1/1972,7.42,1,,,,,,,7.42,42.1,,,4.87
9/8/1972,7.42,0.9,,,,,,,7.42,,,,
9/15/1972,7.42,0.9,,,,,,,7.42,,,,
9/22/1972,7.41,1,,,,,,,7.41,,,,
9/29/1972,7.43,1,,,,,,,7.43,,,,
10/6/1972,7.41,0.9,,,,,,,7.41,,,,
11/3/1972,7.43,1,,,,,,,7.43,,,,
12/1/1972,7.45,1,,,,,,,7.45,42.5,,,5.33
12/8/1972,7.43,1,,,,,,,7.43,,,,
1/5/1973,7.44,0.9,,,,,,,7.44,,,,
1/12/1973,7.44,0.9,,,,,,,7.44,,,,
1/19/1973,7.44,0.9,,,,,,,7.44,,,,
1/26/1973,7.43,0.9,,,,,,,7.43,,,,
2/2/1973,7.43,0.9,,,,,,,7.43,,,,
2/9/1973,7.43,1,,,,,,,7.43,,,,
2/16/1973,7.45,0.9,,,,,,,7.45,,,,
2/23/1973,7.45,1,,,,,,,7.45,,,,
3/2/1973,7.45,1,,,,,,,7.45,,,,
3/9/1973,7.45,0.9,,,,,,,7.45,,,,
3/16/1973,7.45,0.9,,,,,,,7.45,,,,
3/23/1973,7.45,0.9,,,,,,,7.45,,,,
3/30/1973,7.49,0.9,,,,,,,7.49,,,,
4/6/1973,7.51,1,,,,,,,7.51,,,,
4/13/1973,7.54,0.9,,,,,,,7.54,,,,
4/20/1973,7.56,0.9,,,,,,,7.56,,,,
4/27/1973,7.56,0.9,,,,,,,7.56,,,,
5/4/1973,7.58,0.9,,,,,,,7.58,,,,
5/11/1973,7.64,0.9,,,,,,,7.64,,,,
5/18/1973,7.69,0.9,,,,,,,7.69,,,,
5/24/1973,7.7,0.9,,,,,,,7.7,,,,
6/1/1973,7.7,0.9,,,,,,,7.7,44.2,,,8.49
6/8/1973,7.73,0.9,,,,,,,7.73,,,,
6/15/1973,7.73,0.9,,,,,,,7.73,,,,
6/22/1973,7.75,0.9,,,,,,,7.75,,,,
6/29/1973,7.76,0.9,,,,,,,7.76,,,,
7/6/1973,7.89,0.9,,,,,,,7.89,,,,
7/13/1973,8.01,1,,,,,,,8.01,,,,
7/20/1973,8.12,0.9,,,,,,,8.12,,,,
7/27/1973,8.18,1,,,,,,,8.18,,,,
8/3/1973,8.26,1,,,,,,,8.26,,,,
8/10/1973,8.4,1.1,,,,,,,8.4,,,,
8/17/1973,8.55,1,,,,,,,8.55,,,,
8/24/1973,8.61,1,,,,,,,8.61,,,,
8/31/1973,8.66,1.1,,,,,,,8.66,,,,
9/7/1973,8.77,1.1,,,,,,,8.77,,,,
9/14/1973,8.81,1.1,,,,,,,8.81,,,,
9/21/1973,8.83,1.1,,,,,,,8.83,,,,
9/28/1973,8.85,1.1,,,,,,,8.85,,,,
10/5/1973,8.82,1.1,,,,,,,8.82,,,,
11/2/1973,8.62,1,,,,,,,8.62,,,,
11/9/1973,8.59,1,,,,,,,8.59,,,,
12/7/1973,8.53,1,,,,,,,8.53,,,,
1/4/1974,8.56,1,,,,,,,8.56,,,,
1/11/1974,8.53,1,,,,,,,8.53,,,,
1/18/1974,8.55,1,,,,,,,8.55,,,,
1/25/1974,8.52,1,,,,,,,8.52,,,,
2/1/1974,8.48,1,,,,,,,8.48,47.3,,,8.97
2/8/1974,8.46,1,,,,,,,8.46,,,,
2/15/1974,8.46,1,,,,,,,8.46,,,,
2/22/1974,8.42,1,,,,,,,8.42,,,,
3/1/1974,8.41,1,,,,,,,8.41,47.8,,,9.35
3/8/1974,8.41,1,,,,,,,8.41,,,,
3/15/1974,8.4,1,,,,,,,8.4,,,,
3/22/1974,8.4,1,,,,,,,8.4,,,,
3/29/1974,8.41,1,,,,,,,8.41,,,,
4/5/1974,8.44,1,,,,,,,8.44,,,,
4/12/1974,8.53,1,,,,,,,8.53,,,,
4/19/1974,8.63,1,,,,,,,8.63,,,,
4/26/1974,8.73,1,,,,,,,8.73,,,,
5/3/1974,8.87,1,,,,,,,8.87,,,,
5/10/1974,8.98,1,,,,,,,8.98,,,,
5/17/1974,8.97,1.1,,,,,,,8.97,,,,
5/24/1974,9.01,1.1,,,,,,,9.01,,,,
5/31/1974,9.03,1.2,,,,,,,9.03,,,,
6/7/1974,9.06,1.2,,,,,,,9.06,,,,
6/14/1974,9.11,1.1,,,,,,,9.11,,,,
6/21/1974,9.07,1.2,,,,,,,9.07,,,,
6/28/1974,9.1,1.3,,,,,,,9.1,,,,
7/5/1974,9.14,1.3,,,,,,,9.14,,,,
7/12/1974,9.19,1.3,,,,,,,9.19,,,,
7/19/1974,9.37,1.2,,,,,,,9.37,,,,
7/26/1974,9.42,1.2,,,,,,,9.42,,,,
8/2/1974,9.47,1.3,,,,,,,9.47,,,,
8/9/1974,9.5,1.3,,,,,,,9.5,,,,
8/16/1974,9.6,1.2,,,,,,,9.6,,,,
8/23/1974,9.62,1.3,,,,,,,9.62,,,,
8/30/1974,9.74,1.3,,,,,,,9.74,,,,
9/6/1974,9.88,1.4,,,,,,,9.88,,,,
9/13/1974,9.92,1.4,,,,,,,9.92,,,,
9/20/1974,10,1.4,,,,,,,10,,,,
9/27/1974,10.03,1.4,,,,,,,10.03,,,,
10/4/1974,10.02,1.5,,,,,,,10.02,,,,
11/1/1974,9.87,1.5,,,,,,,9.87,51.5,,,9.45
11/8/1974,9.81,1.4,,,,,,,9.81,,,,
12/6/1974,9.69,1.3,,,,,,,9.69,,,,
1/3/1975,9.6,1.2,,,,,,,9.6,,,,
1/10/1975,9.49,1.2,,,,,,,9.49,,,,
1/17/1975,9.43,1.2,,,,,,,9.43,,,,
1/24/1975,9.35,1.3,,,,,,,9.35,,,,
1/31/1975,9.29,1.2,,,,,,,9.29,,,,
2/7/1975,9.2,1.3,,,,,,,9.2,,,,
2/14/1975,9.13,1.2,,,,,,,9.13,,,,
2/21/1975,9.07,1.2,,,,,,,9.07,,,,
2/28/1975,9.02,1.1,,,,,,,9.02,,,,
3/7/1975,9,1.1,,,,,,,9,,,,
3/14/1975,8.89,1.1,,,,,,,8.89,,,,
3/21/1975,8.86,1.1,,,,,,,8.86,,,,
3/28/1975,8.86,1.1,,,,,,,8.86,,,,
4/4/1975,8.83,1,,,,,,,8.83,,,,
4/11/1975,8.81,1,,,,,,,8.81,,,,
4/18/1975,8.8,1,,,,,,,8.8,,,,
4/25/1975,8.84,1,,,,,,,8.84,,,,
5/2/1975,8.92,1.1,,,,,,,8.92,,,,
5/9/1975,8.88,1,,,,,,,8.88,,,,
5/16/1975,8.92,1.1,,,,,,,8.92,,,,
5/23/1975,8.92,1.1,,,,,,,8.92,,,,
5/30/1975,8.89,1.1,,,,,,,8.89,,,,
6/6/1975,8.89,1,,,,,,,8.89,,,,
6/13/1975,8.9,1,,,,,,,8.9,,,,
6/20/1975,8.88,1,,,,,,,8.88,,,,
6/27/1975,8.9,1.1,,,,,,,8.9,,,,
7/3/1975,8.88,1.1,,,,,,,8.88,,,,
7/11/1975,8.9,1.1,,,,,,,8.9,,,,
7/18/1975,8.89,1.1,,,,,,,8.89,,,,
7/25/1975,8.89,1.1,,,,,,,8.89,,,,
8/1/1975,8.89,1.1,,,,,,,8.89,54.2,,,6.14
8/8/1975,8.89,1.1,,,,,,,8.89,,,,
8/15/1975,8.93,1.1,,,,,,,8.93,,,,
8/22/1975,8.98,1.1,,,,,,,8.98,,,,
8/29/1975,9.02,1.1,,,,,,,9.02,,,,
9/5/1975,9.08,1.1,,,,,,,9.08,,,,
9/12/1975,9.16,1.1,,,,,,,9.16,,,,
9/19/1975,9.14,1.2,,,,,,,9.14,,,,
9/26/1975,9.14,1.1,,,,,,,9.14,,,,
10/3/1975,9.2,1.1,,,,,,,9.2,,,,
11/7/1975,9.19,1.2,,,,,,,9.19,,,,
12/5/1975,9.11,1.1,,,,,,,9.11,,,,
1/2/1976,9.1,1.1,,,,,,,9.1,,,,
1/9/1976,9.07,1.1,,,,,,,9.07,,,,
1/16/1976,9.01,1.1,,,,,,,9.01,,,,
1/23/1976,9,1.1,,,,,,,9,,,,
1/30/1976,8.9,1,,,,,,,8.9,,,,
2/6/1976,8.86,0.9,,,,,,,8.86,,,,
2/13/1976,8.83,0.9,,,,,,,8.83,,,,
2/20/1976,8.81,0.9,,,,,,,8.81,,,,
2/27/1976,8.75,1.1,,,,,,,8.75,,,,
3/5/1976,8.77,1.3,,,,,,,8.77,,,,
3/12/1976,8.75,1.3,,,,,,,8.75,,,,
3/19/1976,8.75,1.3,,,,,,,8.75,,,,
3/26/1976,8.75,1.3,,,,,,,8.75,,,,
4/2/1976,8.7,1.3,,,,,,,8.7,,,,
4/9/1976,8.7,1.3,,,,,,,8.7,,,,
