State ,County,Family,Housing1,Food1,Transportation1,Healthcare1,Other Necessities1,Childcare1,Taxes1,Total1,Housing2,Food2,Transportation2,Healthcare2,Other Necessities 2,Childcare2,Taxes2,Total2,median_family_income,st_cost_rank,st_income_rank
AL,Autauga County,1p0c,709,288,902,478,361,0,533,3271,8506,3455,10829,5737,4334,0,6393,39254,73010,2,7
AL,Autauga County,1p1c,1006,424,966,722,518,512,619,4766,12068,5092,11588,8660,6217,6148,7422,57194,73010,2,7
AL,Autauga County,1p2c,1006,622,1030,965,590,1319,814,6345,12068,7460,12362,11582,7076,15825,9770,76141,73010,2,7
AL,Autauga County,1p3c,1271,829,1121,1209,761,1567,1092,7850,15257,9952,13452,14504,9134,18802,13102,94204,73010,2,7
AL,Autauga County,1p4c,1271,1015,1145,1452,829,1567,1122,8402,15257,12182,13745,17426,9942,18802,13469,100824,73010,2,7
AL,Autauga County,2p0c,848,528,1072,956,499,0,686,4589,10180,6334,12862,11475,5984,0,8237,55072,73010,2,7
AL,Autauga County,2p1c,1006,657,1132,1200,602,512,788,5898,12068,7883,13589,14397,7229,6148,9460,70774,73010,2,7
AL,Autauga County,2p2c,1006,832,1227,1443,666,1319,931,7423,12068,9984,14724,17319,7990,15825,11169,89078,73010,2,7
AL,Autauga County,2p3c,1271,1016,1250,1687,829,1567,1101,8720,15257,12190,14995,20241,9945,18802,13210,104640,73010,2,7
AL,Autauga County,2p4c,1271,1243,1255,1930,911,1567,1118,9296,15257,14917,15064,23163,10933,18802,13417,111555,73010,2,7
AL,Baldwin County,1p0c,718,310,894,466,372,0,538,3298,8616,3714,10732,5593,4468,0,6456,39579,77885,3,3
AL,Baldwin County,1p1c,922,456,960,704,499,497,591,4630,11064,5474,11523,8444,5992,5963,7097,55557,77885,3,3
AL,Baldwin County,1p2c,922,668,1072,941,576,1279,790,6249,11064,8020,12869,11295,6915,15348,9478,74989,77885,3,3
AL,Baldwin County,1p3c,1249,892,1121,1179,776,1520,1083,7819,14988,10699,13453,14145,9308,18236,12998,93827,77885,3,3
AL,Baldwin County,1p4c,1249,1091,1148,1416,848,1520,1119,8392,14988,13097,13773,16996,10176,18236,13434,100700,77885,3,3
AL,Baldwin County,2p0c,723,567,1070,932,468,0,652,4412,8676,6810,12838,11187,5611,0,7820,52942,77885,3,3
AL,Baldwin County,2p1c,922,706,1185,1170,590,497,778,5848,11064,8475,14214,14037,7080,5963,9341,70175,77885,3,3
AL,Baldwin County,2p2c,922,894,1231,1407,658,1279,906,7297,11064,10734,14768,16888,7898,15348,10867,87567,77885,3,3
AL,Baldwin County,2p3c,1249,1092,1256,1645,848,1520,1098,8708,14988,13105,15071,19739,10179,18236,13173,104491,77885,3,3
AL,Baldwin County,2p4c,1249,1336,1265,1882,937,1520,1122,9311,14988,16037,15175,22589,11242,18236,13462,111729,77885,3,3
AL,Barbour County,1p0c,488,270,908,474,275,0,455,2869,5856,3237,10891,5687,3295,0,5458,34424,42823,56,64
AL,Barbour County,1p1c,648,398,953,708,379,404,452,3941,7776,4771,11436,8496,4546,4847,5426,47297,42823,56,64
AL,Barbour County,1p2c,648,582,1003,942,446,970,520,5111,7776,6990,12037,11305,5350,11645,6235,61338,42823,56,64
AL,Barbour County,1p3c,806,777,1034,1176,574,1145,629,6140,9672,9325,12405,14114,6883,13736,7543,73678,42823,56,64
AL,Barbour County,1p4c,806,951,1044,1410,637,1145,600,6593,9672,11414,12531,16923,7640,13736,7204,79121,42823,56,64
AL,Barbour County,2p0c,492,495,1059,948,357,0,553,3904,5904,5935,12712,11374,4290,0,6632,46845,42823,56,64
AL,Barbour County,2p1c,648,616,1106,1182,458,404,616,5029,7776,7386,13272,14183,5494,4847,7386,60344,42823,56,64
AL,Barbour County,2p2c,648,780,1134,1416,517,970,671,6137,7776,9354,13612,16992,6207,11645,8052,73638,42823,56,64
AL,Barbour County,2p3c,806,952,1143,1650,637,1145,726,7059,9672,11421,13721,19801,7643,13736,8714,84709,42823,56,64
AL,Barbour County,2p4c,806,1165,1137,1884,714,1145,688,7538,9672,13977,13640,22610,8569,13736,8254,90457,42823,56,64
AL,Bibb County,1p0c,664,254,954,487,333,0,522,3214,7974,3050,11446,5845,3995,0,6261,38572,59444,11,22
AL,Bibb County,1p1c,815,375,1019,735,431,447,538,4359,9780,4495,12234,8821,5172,5361,6450,52313,59444,11,22
AL,Bibb County,1p2c,815,549,1131,983,494,1150,677,5798,9780,6586,13566,11797,5930,13798,8121,69579,59444,11,22
AL,Bibb County,1p3c,1060,732,1175,1231,649,1366,881,7094,12717,8787,14095,14773,7792,16394,10570,85127,59444,11,22
AL,Bibb County,1p4c,1060,896,1197,1479,709,1366,891,7598,12717,10755,14358,17748,8505,16394,10692,91171,59444,11,22
AL,Bibb County,2p0c,708,466,1116,974,426,0,635,4325,8501,5592,13392,11691,5107,0,7616,51898,59444,11,22
AL,Bibb County,2p1c,815,580,1229,1222,505,447,711,5510,9780,6960,14747,14667,6065,5361,8537,66116,59444,11,22
AL,Bibb County,2p2c,815,735,1270,1470,561,1150,808,6809,9780,8815,15243,17642,6737,13798,9694,81710,59444,11,22
AL,Bibb County,2p3c,1060,897,1290,1718,709,1366,911,7952,12717,10762,15485,20618,8508,16394,10934,95419,59444,11,22
AL,Bibb County,2p4c,1060,1098,1294,1966,782,1366,911,8477,12717,13170,15526,23594,9380,16394,10936,101718,59444,11,22
AL,Blount County,1p0c,604,271,944,487,317,0,505,3129,7246,3258,11329,5845,3806,0,6063,37547,63966,14,15
AL,Blount County,1p1c,741,400,1014,735,413,427,514,4244,8887,4801,12168,8821,4960,5119,6172,50928,63966,14,15
AL,Blount County,1p2c,741,586,1129,983,481,1098,643,5660,8887,7035,13547,11797,5769,13176,7711,67921,63966,14,15
AL,Blount County,1p3c,963,782,1177,1231,632,1305,832,6922,11556,9384,14123,14773,7588,15655,9983,83062,63966,14,15
AL,Blount County,1p4c,963,957,1203,1479,696,1305,849,7452,11556,11487,14435,17748,8350,15655,10191,89423,63966,14,15
AL,Blount County,2p0c,644,498,1109,974,414,0,622,4261,7725,5973,13309,11691,4963,0,7467,51128,63966,14,15
AL,Blount County,2p1c,741,619,1226,1222,493,427,694,5421,8887,7434,14709,14667,5914,5119,8325,65054,63966,14,15
AL,Blount County,2p2c,741,785,1271,1470,553,1098,787,6704,8887,9414,15253,17642,6631,13176,9439,80443,63966,14,15
AL,Blount County,2p3c,963,958,1295,1718,696,1305,882,7817,11556,11494,15544,20618,8352,15655,10581,93801,63966,14,15
AL,Blount County,2p4c,963,1172,1303,1966,774,1305,884,8367,11556,14066,15636,23594,9284,15655,10609,100400,63966,14,15
AL,Bullock County,1p0c,532,287,963,474,297,0,488,3041,6384,3445,11558,5687,3561,0,5859,36494,44495,22,62
AL,Bullock County,1p1c,705,423,1017,708,409,422,503,4186,8460,5076,12202,8496,4905,5067,6031,50236,44495,22,62
AL,Bullock County,1p2c,705,620,1071,942,480,1014,583,5415,8460,7438,12850,11305,5760,12173,6991,64978,44495,22,62
AL,Bullock County,1p3c,877,827,1104,1176,617,1197,727,6525,10524,9922,13252,14114,7409,14360,8724,78305,44495,22,62
AL,Bullock County,1p4c,877,1012,1117,1410,685,1197,725,7023,10524,12146,13410,16923,8214,14360,8700,84276,44495,22,62
AL,Bullock County,2p0c,549,526,1104,948,390,0,593,4110,6588,6315,13252,11374,4675,0,7116,49320,44495,22,62
AL,Bullock County,2p1c,705,655,1155,1182,493,422,665,5277,8460,7860,13856,14183,5913,5067,7980,63318,44495,22,62
AL,Bullock County,2p2c,705,830,1186,1416,556,1014,733,6440,8460,9954,14230,16992,6672,12173,8795,77276,44495,22,62
AL,Bullock County,2p3c,877,1013,1197,1650,685,1197,800,7419,10524,12153,14369,19801,8217,14360,9605,89029,44495,22,62
AL,Bullock County,2p4c,877,1239,1193,1884,767,1197,778,7935,10524,14873,14319,22610,9202,14360,9337,95224,44495,22,62
AL,Butler County,1p0c,479,257,921,474,267,0,451,2848,5748,3081,11053,5687,3199,0,5411,34179,51858,66,49
AL,Butler County,1p1c,634,378,974,708,367,403,444,3908,7608,4541,11689,8496,4402,4834,5332,46902,51858,66,49
AL,Butler County,1p2c,634,554,1029,942,431,968,511,5069,7608,6654,12351,11305,5168,11613,6130,60828,51858,66,49
AL,Butler County,1p3c,789,740,1065,1176,554,1142,613,6078,9468,8876,12775,14114,6647,13699,7356,72935,51858,66,49
AL,Butler County,1p4c,789,905,1079,1410,614,1142,582,6521,9468,10865,12953,16923,7368,13699,6980,78256,51858,66,49
AL,Butler County,2p0c,556,471,1074,948,372,0,570,3990,6672,5649,12887,11374,4464,0,6835,47882,51858,66,49
AL,Butler County,2p1c,634,586,1126,1182,442,403,605,4978,7608,7031,13507,14183,5304,4834,7264,59730,51858,66,49
AL,Butler County,2p2c,634,742,1159,1416,499,968,659,6075,7608,8905,13903,16992,5983,11613,7902,72905,51858,66,49
AL,Butler County,2p3c,789,906,1172,1650,614,1142,710,6983,9468,10872,14061,19801,7370,13699,8526,83796,51858,66,49
AL,Butler County,2p4c,789,1109,1169,1884,688,1142,669,7449,9468,13305,14030,22610,8251,13699,8027,89391,51858,66,49
AL,Calhoun County,1p0c,482,258,866,458,268,0,435,2767,5784,3092,10394,5497,3216,0,5222,33205,60734,32,20
AL,Calhoun County,1p1c,723,380,922,692,400,427,466,4009,8676,4557,11067,8300,4795,5122,5594,48111,60734,32,20
