RegionID,State,County,City,ZipCode
58196,MA,Hampden County,Agawam,1001
58197,MA,Hampshire County,Amherst,1002
58200,MA,Worcester County,Barre,1005
58201,MA,Hampshire County,Belchertown,1007
58202,MA,Hampden County,Blandford,1008
58204,MA,Hampden County,Brimfield,1010
58205,MA,Hampden County,Chester,1011
58206,MA,Hampshire County,Chesterfield,1012
58207,MA,Hampden County,Chicopee,1013
58209,MA,Hampden County,Chicopee,1020
58211,MA,Hampden County,Chicopee,1022
58212,MA,Hampshire County,Cummington,1026
58213,MA,Hampshire County,Easthampton,1027
58214,MA,Hampden County,East Longmeadow,1028
58216,MA,Hampden County,Agawam,1030
58217,MA,Worcester County,Hardwick,1031
58218,MA,Hampshire County,Goshen,1032
58219,MA,Hampshire County,Granby,1033
58220,MA,Hampden County,Granville,1034
58221,MA,Hampshire County,Hadley,1035
58222,MA,Hampden County,Hampden,1036
58223,MA,Worcester County,Hardwick,1037
58224,MA,Hampshire County,Hatfield,1038
58226,MA,Hampden County,Holyoke,1040
58228,MA,Hampshire County,Huntington,1050
58229,MA,Hampshire County,Northampton,1053
58230,MA,Franklin County,Leverett,1054
58231,MA,Hampden County,Ludlow,1056
58232,MA,Hampden County,Monson,1057
58234,MA,Hampshire County,Northampton,1060
58236,MA,Hampshire County,Northampton,1062
58239,MA,Worcester County,Oakham,1068
58240,MA,Hampden County,Palmer,1069
58241,MA,Hampshire County,Plainfield,1070
58242,MA,Hampden County,Russell,1071
58243,MA,Franklin County,Shutesbury,1072
58244,MA,Hampshire County,Southampton,1073
58246,MA,Hampshire County,South Hadley,1075
58247,MA,Hampden County,Southwick,1077
58249,MA,Hampden County,Palmer,1080
58250,MA,Hampden County,Wales,1081
58251,MA,Hampshire County,Ware,1082
58252,MA,Worcester County,Warren,1083
58254,MA,Hampden County,Westfield,1085
58257,MA,Hampden County,West Springfield,1089
58260,MA,Franklin County,Whately,1093
58262,MA,Hampden County,Wilbraham,1095
58263,MA,Hampshire County,Williamsburg,1096
58265,MA,Hampshire County,Worthington,1098
58268,MA,Hampden County,Springfield,1103
58269,MA,Hampden County,Springfield,1104
58270,MA,Hampden County,Springfield,1105
58271,MA,Hampden County,Longmeadow,1106
58272,MA,Hampden County,Springfield,1107
58273,MA,Hampden County,Springfield,1108
58274,MA,Hampden County,Springfield,1109
58279,MA,Hampden County,Springfield,1118
58280,MA,Hampden County,Springfield,1119
58281,MA,Hampden County,Springfield,1128
58282,MA,Hampden County,Springfield,1129
58287,MA,Hampden County,Springfield,1151
58291,MA,Berkshire County,Pittsfield,1201
58294,MA,Berkshire County,Adams,1220
58295,MA,Berkshire County,Sheffield,1222
58296,MA,Berkshire County,Becket,1223
58298,MA,Berkshire County,Cheshire,1225
58299,MA,Berkshire County,Dalton,1226
58302,MA,Berkshire County,Great Barrington,1230
58303,MA,Berkshire County,Hinsdale,1235
58305,MA,Berkshire County,Lanesboro,1237
58306,MA,Berkshire County,Lee,1238
58307,MA,Berkshire County,Lenox,1240
58311,MA,Berkshire County,Monterey,1245
58312,MA,Berkshire County,North Adams,1247
58314,MA,Berkshire County,Otis,1253
58315,MA,Berkshire County,Richmond,1254
58316,MA,Berkshire County,Sandisfield,1255
58317,MA,Berkshire County,Savoy,1256
58318,MA,Berkshire County,Sheffield,1257
58319,MA,Berkshire County,Mount Washington,1258
58320,MA,Berkshire County,New Marlborough,1259
58322,MA,Berkshire County,Stockbridge,1262
58324,MA,Berkshire County,Tyringham,1264
58325,MA,Berkshire County,West Stockbridge,1266
58326,MA,Berkshire County,Williamstown,1267
58327,MA,Berkshire County,Windsor,1270
58328,MA,Franklin County,Greenfield,1301
58330,MA,Franklin County,Ashfield,1330
58331,MA,Worcester County,Athol,1331
58332,MA,Franklin County,Bernardston,1337
58334,MA,Franklin County,Hawley,1339
58335,MA,Franklin County,Colrain,1340
58336,MA,Franklin County,Conway,1341
58337,MA,Franklin County,Deerfield,1342
58339,MA,Franklin County,Erving,1344
58340,MA,Franklin County,Heath,1346
58342,MA,Franklin County,,1349
58344,MA,Franklin County,Montague,1351
58345,MA,Franklin County,Gill,1354
58346,MA,Franklin County,New Salem,1355
58347,MA,Franklin County,Northfield,1360
58348,MA,Franklin County,Orange,1364
58349,MA,Worcester County,Petersham,1366
58350,MA,Franklin County,Rowe,1367
58351,MA,Worcester County,Royalston,1368
58352,MA,Franklin County,Shelburne,1370
58353,MA,Franklin County,South Deerfield,1373
58354,MA,Franklin County,Sunderland,1375
58355,MA,Franklin County,Turners Falls,1376
58356,MA,Franklin County,Warwick,1378
58357,MA,Franklin County,Wendell,1379
58359,MA,Worcester County,Fitchburg,1420
58360,MA,Worcester County,Ashburnham,1430
58361,MA,Middlesex County,Ashby,1431
58362,MA,Middlesex County,Ayer,1432
58363,MA,Worcester County,Devens,1434
58364,MA,Worcester County,Baldwinville,1436
58366,MA,Worcester County,Gardner,1440
58368,MA,Middlesex County,Groton,1450
58369,MA,Worcester County,Harvard,1451
58370,MA,Worcester County,Hubbardston,1452
58371,MA,Worcester County,Leominster,1453
58372,MA,Middlesex County,Littleton,1460
58373,MA,Worcester County,Lunenburg,1462
58374,MA,Middlesex County,Pepperell,1463
58375,MA,Middlesex County,Shirley,1464
58377,MA,Worcester County,Templeton,1468
58378,MA,Middlesex County,Townsend,1469
58382,MA,Worcester County,Westminster,1473
58383,MA,Middlesex County,Townsend,1474
58384,MA,Worcester County,Winchendon,1475
58386,MA,Worcester County,Auburn,1501
58387,MA,Worcester County,Berlin,1503
58388,MA,Worcester County,Blackstone,1504
58389,MA,Worcester County,Boylston,1505
58390,MA,Worcester County,Brookfield,1506
58391,MA,Worcester County,Charlton,1507
58394,MA,Worcester County,Clinton,1510
58395,MA,Worcester County,East Brookfield,1515
58396,MA,Worcester County,Douglas,1516
58398,MA,Worcester County,Sturbridge,1518
58399,MA,Worcester County,Grafton,1519
58400,MA,Worcester County,Holden,1520
58401,MA,Hampden County,Holland,1521
58402,MA,Worcester County,Holden,1522
58403,MA,Worcester County,Lancaster,1523
58404,MA,Worcester County,Leicester,1524
58407,MA,Worcester County,Millbury,1527
