,RegionID,State,County,City,ZipCode,Bedrooms,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,61148,NJ,Ocean County,Lakewood,8701,1,47907.36,50885.06,54318.4,68593.73,80358.08,91689.84,98285.18,90631.63,80700.78,70308.3,63428.12,57400.22,51691.99,53041.14,60553.92,62038.33,63905.43,64556.54,68269.56,73202.06,78311.42,90955.59,121965.35,138093.04
1,62080,NY,Queens County,New York,11368,1,,,,,,,,,,157546.06,152248.37,149768.39,156405.94,168638.37,191117.19,211477.44,228926.36,255147.88,284078.62,307194.72,305100.25,290576.55,291251.99,295062.39
2,91733,TX,Harris County,Houston,77084,1,,,,,,,,,,,,,,,,,,,,,,,,115302.34
3,62093,NY,Queens County,New York,11385,1,,,,,,,,,,,,,335304.13,366638.66,410938.92,445108.05,499771.41,554403.18,594048.54,612994.93,588087.66,562426.24,576639.11,577059.48
4,95992,CA,Los Angeles County,Los Angeles,90011,1,71061.0,79099.09,83463.82,96343.9,118230.04,153235.36,204182.83,223041.86,186202.68,128557.2,107226.95,99671.75,109863.81,136976.34,174416.18,197216.91,213547.07,258976.67,322268.62,346646.04,374599.76,415068.21,449253.57,458222.07
5,96193,CA,Los Angeles County,Norwalk,90650,1,,,,,,,,,,,,,,,190722.65,210731.78,229868.18,254064.61,281995.32,290929.81,301080.5,334427.75,389357.82,403119.51
6,96361,CA,Los Angeles County,Los Angeles,91331,1,49562.08,56452.7,65110.79,80726.48,106809.46,137092.03,170835.51,171450.66,139746.09,98476.9,97619.85,93925.86,95811.32,123701.57,156321.68,174758.15,188400.37,219012.25,264694.87,282834.17,301831.84,343761.42,387158.15,403457.37
7,62046,NY,Kings County,New York,11236,1,131684.24,146292.66,166663.54,198625.22,217706.09,259878.95,304361.4,319555.07,319015.39,297612.17,289268.46,277112.78,270530.45,278539.63,288032.16,288690.52,306827.46,342611.16,369425.59,403252.58,398536.63,389583.04,389476.03,359596.49
8,61807,NY,Bronx County,New York,10467,1,,,,,,,,,,,,,111621.7,123540.02,134438.17,134496.23,151928.44,170932.58,183278.6,182642.98,191776.3,204914.55,208159.8,212270.1
9,62085,NY,Queens County,New York,11373,1,114238.18,130215.58,137749.53,147702.97,167795.82,202687.63,230853.69,239807.39,231193.76,206529.83,216123.85,218119.1,221414.54,232226.92,255336.95,264279.72,272062.57,296894.16,328042.28,359680.58,356516.04,340732.42,342654.87,351964.21
10,62037,NY,Kings County,New York,11226,1,,,,,,,,,,,,,270819.16,295399.09,335316.27,392087.45,445562.44,478255.0,517106.77,540652.32,540900.46,533625.21,546457.89,536291.4
11,62018,NY,Kings County,New York,11207,1,,,,,,,,,,,,,183394.46,191658.11,217784.96,237187.79,255328.48,290837.29,322561.7,357292.79,343974.59,345463.58,365335.98,374564.11
12,96025,CA,Los Angeles County,Los Angeles,90044,1,72657.88,79375.38,86810.26,98108.38,121806.47,163810.17,211785.85,227302.3,187986.22,136677.22,116573.72,114944.54,124081.3,150480.19,191796.26,216423.72,239017.28,289698.93,349354.28,375143.36,405934.01,462030.89,499547.32,503782.87
13,97771,CA,Contra Costa County,Pittsburg,94565,1,,,,,,,,,,,,,,,,,196418.59,236124.83,263293.34,270382.28,275156.64,291589.01,311036.46,299572.07
14,96816,CA,San Bernardino County,Fontana,92335,1,62689.58,69374.03,80139.06,97624.51,126550.77,171159.16,201621.06,211765.31,158116.68,91846.28,79371.96,80127.42,83615.6,110218.38,144318.32,157169.23,171468.82,210246.12,250209.6,284526.28,301542.77,324572.82,365916.63,379151.06
15,96083,CA,Los Angeles County,Bell,90201,1,111212.72,119741.78,131569.58,153516.01,192361.93,247508.42,302205.65,325143.78,266641.74,178047.6,155751.56,145029.59,147773.61,179368.41,211143.25,230228.96,244006.43,284932.56,333277.61,353878.6,379004.45,428928.52,476253.01,494596.76
16,96107,CA,Los Angeles County,Hawthorne,90250,1,,,,,,,,,,,,,,,,,443234.77,489956.01,569133.55,606691.35,649898.53,732840.54,751242.47,691667.43
17,61639,NY,New York County,New York,10025,1,193610.14,237066.58,254874.43,291753.17,338848.48,418362.57,483849.71,461225.83,511293.74,515600.34,500015.57,514829.03,533930.17,573340.64,638472.51,685678.89,705808.43,715671.13,716179.34,736323.04,737802.68,712442.15,748389.39,731027.81
18,96239,CA,Los Angeles County,Long Beach,90805,1,63235.81,70694.13,80802.16,99114.79,127304.69,176998.22,210779.75,221792.47,183647.33,127003.37,115683.7,111496.05,114652.56,145149.91,178857.86,196548.81,209771.23,241237.47,295196.69,321782.35,343478.84,392307.72,435767.46,444538.7
19,62025,NY,Kings County,New York,11214,1,,,,,,,,,,,,234565.28,238941.92,259698.83,311387.86,330966.2,343793.0,377591.18,398177.63,407681.54,381324.79,356094.24,358499.53,357949.36
20,84620,IL,Cook County,Chicago,60618,1,96836.96,111735.58,124670.01,134260.02,141584.35,152259.43,159127.15,157322.55,153657.64,145157.91,138033.5,119496.97,100476.74,108863.45,133578.83,146549.7,156830.79,169984.54,189089.01,193428.13,196496.3,203793.24,211161.71,220889.97
21,97223,CA,Kern County,Bakersfield,93307,1,56506.62,46100.48,42314.47,45648.39,60422.11,95920.15,126498.98,137016.8,96721.75,49653.87,39300.1,36605.67,38317.07,46499.21,57681.19,64652.54,72629.04,75433.58,85883.38,95578.15,113693.31,119083.06,135673.15,138178.49
22,96125,CA,Los Angeles County,South Gate,90280,1,112366.8,118121.14,132897.52,152261.91,188188.17,243213.72,298754.74,302342.5,249014.35,166987.84,146069.2,144103.65,147824.36,179593.43,215187.88,232767.42,246639.54,283464.88,330066.56,348036.55,370853.22,418635.55,465787.36,489697.73
23,62044,NY,Kings County,New York,11234,1,132218.45,143480.19,153434.4,181323.54,210900.97,249952.79,280283.92,287800.85,282651.22,249520.05,257501.24,252077.76,248176.59,255281.57,275763.37,272865.89,281658.25,296334.84,308668.13,329458.28,314041.88,287681.42,290765.01,280989.54
24,96368,CA,Los Angeles County,Los Angeles,91342,1,82596.56,91278.12,106332.42,132687.94,169806.82,218189.29,261224.62,261018.08,209619.17,148435.35,142660.27,129994.6,126687.1,161611.22,201278.92,219105.82,230886.65,264587.28,321537.52,344694.25,364755.95,430288.33,485328.88,483923.75
25,61790,NY,Richmond County,New York,10314,1,97995.36,111963.06,131357.76,150876.63,172337.71,203112.79,229076.22,229820.63,230990.94,237350.29,229897.31,222308.66,209535.32,215195.4,222174.95,227986.85,244685.88,274562.69,309588.97,334669.33,330953.12,322404.66,333368.63,336962.8
26,62031,NY,Kings County,New York,11220,1,,,,,,,,,,,356198.29,329961.75,316734.06,328849.7,360260.77,371866.28,386691.68,416986.51,435817.56,461503.38,443104.68,424519.81,436808.55,434901.84
27,96882,CA,Riverside County,Riverside,92503,1,,,,,,,,,,,,,,,,,,,240299.56,250815.86,267788.75,310371.92,353135.91,377323.28
28,92481,TX,Cameron County,Brownsville,78521,1,,,,,,,,,,,,,,47012.93,48043.03,49067.44,48718.12,50178.26,51690.97,49520.44,53919.34,68811.54,84563.28,94907.41
29,62017,NY,Kings County,New York,11206,1,,,,,,,,,,,,,374717.85,412121.09,480768.1,557918.89,593227.7,617517.27,650997.28,698016.08,722062.15,702332.25,729686.1,702307.53
30,62032,NY,Kings County,New York,11221,1,95571.18,110266.49,115351.5,131904.85,153919.67,187450.01,223470.71,247798.48,242737.4,224478.58,204432.7,203759.41,219997.16,244372.94,302520.77,351717.22,396884.82,504650.73,583690.87,641527.84,666586.55,689102.46,715243.45,675495.38
31,96825,CA,San Bernardino County,Hesperia,92345,1,,,,,,,,,,,,,,,,,,,,,,234024.15,265202.74,270535.1
32,91968,TX,Fort Bend County,Sugar Land,77479,1,,,,,,,,,,,,,,,,,208445.49,216754.08,230563.81,220333.31,214844.19,215462.18,235946.91,248857.48
33,96546,CA,San Diego County,Chula Vista,91911,1,,,,,,,,,,,,,89903.35,102840.44,128454.03,143359.69,164648.96,185623.09,210145.89,239145.13,248918.3,264534.45,324597.49,352107.1
34,62034,NY,Kings County,New York,11223,1,,,,,,,,,,,,,243373.84,263172.47,286313.7,297142.76,304888.5,338677.42,358342.13,369119.18,348635.45,329341.71,338053.02,335699.86
35,399727,TX,Hidalgo County,Edinburg,78542,1,,,,,,,,59544.5,58573.47,55847.92,54510.44,48550.61,40617.82,39571.57,40912.66,42342.86,43481.36,44495.58,46278.67,46841.5,52390.14,62813.99,75515.33,84233.32
36,62040,NY,Kings County,New York,11230,1,,,,,,,,,,,,,248938.87,265473.47,280696.33,295727.75,306263.14,332265.63,363579.0,381834.59,376005.1,355908.71,348984.05,338827.33
37,84646,IL,Cook County,Chicago,60647,1,120242.12,136515.1,147803.21,159468.77,169458.17,181878.05,193925.47,190085.78,184208.65,173079.21,166792.51,151965.66,142743.14,162184.14,195424.87,215115.35,227280.04,240909.28,264765.08,273609.18,276612.49,283929.1,290331.2,296267.47
38,97970,CA,Santa Cruz County,Watsonville,95076,1,224875.05,288686.65,310310.77,343096.92,401372.09,492480.82,540000.38,509060.95,394333.45,263264.46,212324.95,198987.39,207027.97,251276.96,305302.1,344735.28,385797.79,425301.84,465728.54,500407.18,523261.57,586466.48,671880.66,639075.69
39,61798,NY,Bronx County,New York,10458,1,,,,,,,,,,,,,,,,,118008.27,138215.67,149175.75,148492.84,161156.56,179016.66,192842.67,208607.98
40,62088,NY,Queens County,New York,11377,1,,133647.07,142998.01,154929.9,171970.31,211695.14,241294.28,243798.53,236888.49,207690.82,208572.19,207763.78,222923.8,244610.45,268267.28,279568.86,297342.72,318524.5,345041.53,359925.87,373195.69,359712.0,352821.7,361384.68
41,97023,CA,Orange County,Anaheim,92804,1,,,,,,,,,,,,,,,214231.52,222926.34,236892.85,264563.61,295358.03,301327.45,313364.34,350253.5,418149.22,434802.47
42,96468,CA,San Bernardino County,Chino,91710,1,,,,121609.89,139581.54,184143.49,222084.97,223042.74,168683.5,119973.67,113656.07,107968.57,100322.18,124150.3,158579.22,170393.48,181531.76,206905.43,242584.39,270678.79,278995.34,314455.26,372514.71,371132.39
43,97567,CA,San Francisco County,San Francisco,94112,1,248466.22,302189.62,322125.29,353734.01,408690.28,483164.34,519742.16,522621.07,471732.37,401346.09,388395.76,355327.56,365223.66,465796.21,542044.92,629708.02,682959.78,727082.31,829964.19,849066.55,896082.18,922263.43,947166.2,840989.74
44,100179,WA,Franklin County,Pasco,99301,1,,,,,,,,,,,,,,,,,,,,119409.26,136273.94,165196.02,196346.08,205718.34
45,62045,NY,Kings County,New York,11235,1,95995.11,110125.19,116322.94,135406.91,162913.24,197770.29,222375.6,212939.36,206853.4,207557.53,219727.7,210162.07,233596.46,251600.58,260680.02,265602.95,267018.31,289941.0,314350.59,328930.23,319979.14,313400.89,316146.41,312091.16
46,62039,NY,Kings County,New York,11229,1,,,,,,,,,,,,,163821.21,172271.58,195029.31,199613.12,207959.59,231558.48,259309.63,283434.75,285469.17,280088.89,283042.91,279091.16
47,62043,NY,Kings County,New York,11233,1,116488.15,135058.17,144814.97,169439.85,206412.83,260092.06,319178.42,342174.91,330606.71,292796.77,261081.56,255894.95,278489.81,306218.55,358849.77,422309.39,460418.33,533159.52,578331.94,614356.06,625435.79,661488.42,679093.17,629106.41
48,90769,TX,Dallas County,Dallas,75217,1,54443.77,54774.66,55990.88,59193.94,60749.54,60237.16,61261.46,57619.05,52426.66,45785.4,36020.58,31702.51,30436.61,32126.37,35955.58,39642.23,49365.23,59191.95,69204.66,78034.31,89250.53,108146.71,127747.1,131877.87
49,98848,HI,Honolulu County,Ewa Beach,96706,1,,,,,,,,,,,,,,,,,,,324541.79,327961.38,328919.05,353347.01,408706.19,413583.26
50,62015,NY,Kings County,New York,11204,1,,,,,,,,,,,,,,,,,379497.46,421650.37,442272.1,453283.95,423543.08,411984.27,452788.27,458406.51
51,61808,NY,Bronx County,New York,10468,1,,,,,,,,,,,,,,,,,147293.76,165006.08,182659.33,184951.84,189011.82,193649.77,200914.27,204833.17
52,93137,TX,El Paso County,Horizon City,79928,1,,,,,,,,,,,,,,,,,,,,,,88331.17,99720.88,107520.21
53,97940,CA,Santa Clara County,Milpitas,95035,1,,,,,,,,,,,,,229794.9,294048.72,358828.02,401905.27,452409.93,480200.37,572178.46,571532.19,561419.32,582270.0,633802.54,615969.62
54,96488,CA,Los Angeles County,La Puente,91744,1,,,,,,,,,,,,,,,,155457.91,164487.59,181602.82,207564.73,220170.85,224196.2,241219.53,280607.22,292086.49
55,84610,IL,Cook County,Chicago,60608,1,104941.76,125420.94,146668.27,152824.77,165171.82,182877.88,203793.67,207052.66,204069.22,193023.67,164319.49,130067.05,108588.35,118858.68,146572.08,161015.88,171041.48,177576.66,192155.98,203016.0,211371.36,217440.02,225087.41,234214.89
56,62067,NY,Queens County,New York,11355,1,145284.86,166494.24,173179.43,189430.91,213814.15,249420.38,277807.77,272680.98,271387.08,234340.5,233812.41,234149.6,243493.86,254209.14,283970.9,306895.83,328555.25,373942.11,412599.81,420593.48,409578.13,392912.51,396719.72,408028.45
57,96888,CA,Riverside County,Jurupa Valley,92509,1,59855.17,66356.44,79161.89,99767.25,131086.16,172702.86,210964.41,214044.53,171471.41,101686.8,90441.29,83849.38,87320.88,109257.19,141544.53,167433.32,188788.16,212266.61,251356.18,262690.0,282799.95,331424.98,374168.44,384781.28
58,62014,NY,Kings County,New York,11203,1,,,,,,,,,,,,,,,,,340675.53,391603.13,427898.88,457878.71,434118.08,414757.62,428950.77,416219.23
59,97189,CA,Tulare County,Porterville,93257,1,,,,,,,,,,,,,,,,71934.94,79662.91,92841.19,103493.34,114617.65,130462.57,143014.06,156024.87,159560.96
60,97328,CA,Los Angeles County,Palmdale,93550,1,,,,38570.68,50001.32,66761.54,82428.91,87216.51,67177.47,38810.49,36980.41,33416.72,37689.78,51803.01,68611.75,77891.16,90548.08,108589.32,141605.08,164173.45,178362.32,217783.84,257272.77,261839.5
61,84627,IL,Cook County,Chicago,60625,1,65942.44,77526.95,89322.84,99230.81,107699.42,115757.58,124372.33,122672.35,118145.51,109580.76,101475.23,79734.82,68241.12,72819.74,94148.39,103650.97,110175.4,117416.14,133753.53,139035.97,141560.3,148452.52,157732.35,166598.22
62,61797,NY,Bronx County,New York,10457,1,,,,,,,,,,,,,,,,,112940.98,123090.24,130679.09,135493.5,144774.67,157801.5,165286.85,191764.35
63,96934,CA,Riverside County,Temecula,92592,1,,,,,,,,,,,,,,,,,225171.52,251584.93,289630.25,295673.48,298770.63,342155.36,402659.54,404097.99
64,98325,CA,Sacramento County,Folsom,95630,1,,,,,,,,,,,,,,,,,215131.16,240896.99,265458.14,274209.8,297125.9,318854.0,361197.29,343263.8
65,97751,CA,Alameda County,Hayward,94544,1,,,,,,,,,,,,,,132780.79,184305.55,226382.2,270031.84,304208.9,353532.31,392671.56,375438.63,379626.89,424896.91,409837.07
66,96208,CA,Los Angeles County,Bellflower,90706,1,101801.17,105863.44,121033.76,148370.49,186856.89,244155.53,281897.35,290844.8,225139.79,159806.14,154240.31,144097.74,145662.88,174996.38,212058.91,232542.0,247544.19,294891.98,356991.93,377404.15,402833.91,477439.04,528388.58,553518.21
67,92520,TX,Hidalgo County,Pharr,78577,1,,,,,,,,,,,,,,36760.56,38453.51,38953.28,40374.87,41133.26,43906.71,45450.57,50885.92,59511.15,70538.7,79747.42
68,97318,CA,Los Angeles County,Lancaster,93535,1,,,,,,,,,,,,,,58172.56,68947.84,72196.43,78114.12,90114.88,107001.74,132336.51,150123.12,173162.26,191269.5,189308.22
69,61643,NY,New York County,New York,10029,1,,,,,,,,,,,,,399989.96,415105.06,457941.33,492602.02,527449.14,569515.68,595014.43,613291.73,605363.23,581093.32,596622.55,590228.67
70,97004,CA,Orange County,Santa Ana,92704,1,,,,,,,,,,,,,,159014.0,179531.49,196339.8,211832.42,243090.08,278554.91,278493.95,291594.21,319123.42,365753.06,373484.57
71,62029,NY,Kings County,New York,11218,1,,,,,,,,,,,,,292253.31,321170.41,349655.09,397601.62,443938.29,473246.79,500975.16,510998.08,500924.65,483222.89,492928.65,494017.77
72,61802,NY,Bronx County,New York,10462,1,49538.45,53697.63,54371.29,59051.05,67806.55,81054.37,96148.65,110590.13,114008.01,108313.91,98109.65,90288.52,83359.21,84430.13,86686.73,94746.64,108012.01,122358.23,142740.34,169651.56,185166.77,187645.49,190951.66,192102.4
73,96364,CA,Los Angeles County,Los Angeles,91335,1,98216.45,111195.82,127255.75,153135.1,201057.64,249443.22,284943.07,278291.99,229010.29,169672.0,158274.97,133950.12,119873.93,146811.63,191470.21,206894.47,218412.62,242966.09,284833.49,298825.42,308112.22,330113.05,369829.0,381620.68
74,84635,IL,Cook County,Chicago,60634,1,71290.82,81320.25,89377.81,97349.86,105325.67,114119.9,121267.9,120405.86,115814.0,100084.78,84958.1,66804.54,58208.4,63121.05,80956.9,91016.79,100522.63,110078.36,122853.58,128375.51,132395.99,138716.44,148676.36,158499.57
75,97740,CA,Solano County,Fairfield,94533,1,,,,,,,,,,,,,,,,,,,,,,,,269016.16
76,69672,NC,Cabarrus County,Concord,28027,1,,,,,,,,,,,,,,69563.91,73179.14,79053.83,84402.21,90106.58,101757.49,109876.73,121804.13,147991.47,173553.93,173269.95
77,73221,FL,Orange County,Winter Garden,34787,1,52117.8,49322.56,51873.73,53737.29,59794.74,69408.71,82230.75,86197.97,78949.49,60124.35,45006.78,40581.78,42725.77,53010.1,64055.18,70858.87,79933.74,93563.39,110796.9,132140.54,136883.53,145372.65,189606.69,201088.02
